,ID,Category,Question,Answer,Source
,1,General,What document should I read first before asking a question?,Please read the Last to market planetary-scale human resources infrastructure document.,bld.ai FAQ
,2,Guild,What is the `Global max mid bill rate`?,"For every level, for every guild, and for every geography we define a range of hourly rates. For instance, a level 1 Engineer in EG should normally charge between $18 and $27 per hour, and will have a `Bill rate mid` of $23. This is the default number that gets loaded in flow.bld.ai when this person is added to a project. It is always possible for a PM to suggest a different rate, however, the minimum is the `Bill rate low` and there is no maximum. PMs will have conversations with clients to adjust rates for specific individuals, and (most of the time) this is significantly faster than inflation. The `Global max mid bill rate` is the maximum value that this middle range can take for an individual at that level across all guilds and geographies. This level of control allows us to very quickly and easily adjust everything globally in a way that it is globally fair, transparent, and efficient.""",bld.ai FAQ
,3,Houses,Can individuals transfer houses?,"Currently we are not allowing house transfers as managing this process in flow will be difficult. However, in the near future we do want to allow people to do so via flow.",bld.ai FAQ
,4,Houses,How does a housemaster (whether house of one or house of many) do house expenses?,"Every Brex card has to be tied to an individual. Whether the housemaster spends on a laptop for themselves or pays for a big team dinner for his house, it is the same Brex card. The advantage of using an expense card is that these are before tax dollars. ",2022 05 05 all hands Q1
,5,Houses,Can a house of one expand to 2/3 etc..?,Yes. Every house starts as a house of one.,2023 05 05 all hands Q2
,6,Houses,"How hard would be the process of switching houses, giving that the comp engine is now involved?","There is no process, instead we are building a software. It's your decision to switch house as long as you are in good standing with your current house. Per vision document: ""Houses can decide whether to accept or remove someone and can set up a membership agreement."" However, please wait until the house budgetting engine is implemented in flow.bld.ai. We don't have the administrative overhead to handle this manually. ",2024 05 05 all hands Q3
,7,Houses,How does the brex expense process work? ,"There is no process. You use the card and follow the Brex software. We will be setting a policy but for the time being, please apply reason. You can expense work related items such as office equipment, cell phone, laptop, flights, hotels, and team events. ",2025 05 05 all hands Q4
,8,Houses,Thoughts on company/continent-wide retreats?,"It is up to the houses to decide how much budget to allocate to this. For instance, House Mahusai are both organizing events in Q2 2022 in the Philippines and Europe respectively. We encourage houses to be welcoming of other houses during in their events. ",2026 05 05 all hands Q5
,9,flow.bld.ai / work,"What is the ""plan"" sheet on bld.ai worker flow used for?","It enables PMs to find, onboard, and manage their team members for their client/projects. It enables housemasters to plan and allocate their workers' capacities.",2027 05 05 all hands Q6
,10,Equity,Could you share with us any updates on our Oct target IPO? ,This has moved into 2023.,2022 04 21 Americas Q1
,11,Equity,How is IPO planned to interact with equity compensation?,It is a mechanism to establish the fair market value of the stocks workers of bld.ai own. It is a market for buying/selling these stocks.,2023 04 21 Americas Q2
,12,House,Could you breakdown what each column in the Housemaster Flow represents?,,2024 04 21 Americas Q3
,13,Houses,What's our bottleneck in terms of recruiting right now? Are we looking to hire more PMs?,We are looking to hire more PM. We prefer PM with 3-5 years of experience as we could benefit from their experience. ,2025 04 21 Americas Q4
,14,flow.bld.ai / recruit,How many jr. and sr. engineers have we hired recently? How many can we anticipate coming in after training in the upcoming weeks?,The worker flow should give information like this. ,2026 04 21 Americas Q5
,15,Admin,Are we establishing a company in Egpyt? I like the current structure and I think establishing one will get us into lots of headache of more taxes. If so we could have a voting on that for Egypt team? or can it be optional to join this one?,"While your opinion is welcomed, we trust in the attorneys that we will select more. Ultimately, if we establish a corp in Egypt, it is because it makes creates more value for everyone, not less. ",2022 04 21 EMEA Q2
,16,flow.bld.ai / recruit,What is exactly the role of the closer in the recruitment process?How can there be 2 closers? Does it have include at least one housemaster?,The closer is the person who convinces another one to join. There does not need to be 2 closers. Housemasters may or may not the be closers. ,2022 04 21 EMEA Q3
,17,New employees,"Can a new hire be a house of 1? (If he needs no training, or can train individually)",Yes.,2022 04 21 EMEA Q4
,18,Houses,As a house of one. Will I still be receiving my recruiting cost if I joined another company or will I be removed from bld system?,"As a worker, regardless of whether you are a house of one or part of a larger house, as long as you remain in good standing with bld.ai, you will continue to receive commissions. Good standing is not properly defined yet, but starter ideas include: charge at least 4hr of work per month, contribute to a succesfull sell, contribute to a succesful hire. ",2022 04 21 EMEA Q5
,19,Expenses,How Brex is different from having a payroll account?,"Brex is for expensing (= before tax). Payroll you are taxed on. In other words, if you want to pay for your cellphone plan and you use $50/month for that, using Brex is cheaper for you. If this money when through payroll, you would have to pay income on the $50 (effectively costing you $60-70 of ""gross compensation"". ",2022 04 21 Asia Q1
,20,Expenses,I'm not really familiar with Brex but will there be an onboarding on how to use it eventually?,https://www.youtube.com/watch?v=14rv96SY1ys,2022 04 21 Asia Q2
,21,Expenses,"Just to clarify, do we have full discretion on when can we spend the money on our BREX account?","Full discretion within reason. You can buy equipment (laptop, cellphone, etc.) that you use for work. You can expense a meal with your colleagues once a month.  But you cannot use it for buying a gift for your mother.",2022 04 21 Asia Q3
,22,Delete,What else do you want to do by the time you're 90?,Finish my PhD - Danny,2022 04 21 Asia Q4
,23,Delete,What is Danny doing in Sg?,"Trying to setup bld.ai in a country with one of the best country for doing business (low corruption, low tax, highly educated workforce, etc.)",2022 04 21 Asia Q5
,24,Delete,What makes you so passionate about bld.ai?,"It is very meaningful to me to create an infrastructure that incentivises training and job creation without prejudice for nationality, gender, race, religion, etc.",2022 04 21 Asia Q6
,25,Equity,Why is an IPO important at this stage in the company?,So that we can have a fair market value for share buy back. ,2022 04 21 Asia Q7
,26,Meetup,Will there be a meetup in Manila?,Hopefully soon. Perhaps in late May or early June.,2022 04 21 Asia Q8
,27,Meetup,Will we organize a company-wide meetup?,Hopefully soon. Perhaps in early December in Sharm El-Sheikh in Egypt for ACPC?,2022 04 21 Asia Q9
,28,Equity,Is it possible to allocate more than 10% of total compensation as equity? (20%),"There is currently no slider to change the equity, but this is a feature we want to build. ",2022 04 14 Q&A Q1
,29,Admin,when can we expect to receive the submitted gross comp ,In the next few days. Wise has lowered daily limits and I was waiting for House of 1 updates,2022 04 14 Q&A Q2
,30,Admin,Are we switching to brex cash?,"We are moving away from using Wise Business account to send payments, and using Brex Cash for international wire transfers  or ACH (US bank account to a US bank account which you can have with a Wise Personal account).",2022 04 14 Q&A Q3
,31,Admin,"For the Egyptians, should we ignore the taxes and benefits cost column in the sheet?",No. Egyptians also need to pay their taxes.,2022 04 14 Q&A Q4
,32,Houses,Can I keep my budget fully and receive no cash compensation for a month?,Yes.,2022 04 14 Q&A Q5
,33,Houses,Can house of one expand to be a big house?,Yes.,2022 04 14 Q&A Q6
,34,flow.bld.ai / earn,"In the comp engine, what does the column ""actual cash cost to bld balance"" (under balances tab) mean ?","It is the sum of the cash outflows (in USD) from bld.ai that are associated with the person. It includes things suchs as: wire transfers, health care insurance, government taxes, and expenses.",Housemaster Q&A Q1
,35,Houses,"How can we calculate the current house balance, for Jan and Feb ? Perhaps  Danny could record a video on how to do that","We will compte this for you. As of April 7, 2022, we are still missing complete work logs for March so we can't do it just yet.",Housemaster Q&A Q3
